POWER,ENERGY,VOLTAGE,CURRENT,HUMIDITY,TEMPRATURE,TIME,d_id,date,date1
0.35,4.2,103,0.73,61,29,214.8285714,d1,20170401,2017-04-01
0.42,7.1,103,0.87,61,30,213.3571429,d1,20170402,2017-04-02
0.39,3.6,103,0.86,61,31,227.1282051,d1,20170403,2017-04-03
0.39,8.2,103,0.86,61,28,227.1282051,d1,20170404,2017-04-04
0.41,5.8,103,0.88,61,27,221.0731707,d1,20170405,2017-04-05
0.39,9.2,103,0.86,61,30,227.1282051,d1,20170406,2017-04-06
0.39,9,103,0.86,61,32,227.1282051,d1,20170407,2017-04-07
0.4,7.1,103,0.87,61,26,224.025,d1,20170408,2017-04-08
0.39,4.8,103,0.85,61,28.32142857,224.4871795,d1,20170409,2017-04-09
0.39,8.2,103,0.85,61,28.14285714,224.4871795,d1,20170410,2017-04-10
0.4,6.56,103,0.87,61,27.96428571,224.025,d1,20170411,2017-04-11
0.4,6.676363636,103,0.86,61,27.78571429,221.45,d1,20170412,2017-04-12
0.39,6.792727273,103,0.86,61,27.60714286,227.1282051,d1,20170413,2017-04-13
0.41,6.909090909,103,0.87,61,27.42857143,218.5609756,d1,20170414,2017-04-14
0.4,7.025454545,103,0.86,61,27.25,221.45,d1,20170415,2017-04-15
0.37,7.141818182,103,0.85,61,27.07142857,236.6216216,d1,20170416,2017-04-16
0.4,7.258181818,103,0.86,61,26.89285714,221.45,d1,20170417,2017-04-17
0.39,7.374545455,103,0.86,61,26.71428571,227.1282051,d1,20170418,2017-04-18
0.38,7.490909091,103,0.86,61,26.53571429,233.1052632,d1,20170419,2017-04-19
0.39,7.607272727,103,0.86,61,26.35714286,227.1282051,d1,20170420,2017-04-20
0.39,7.723636364,103,0.85,61,26.17857143,224.4871795,d1,20170421,2017-04-21
0.39,7.84,103,0.85,61,26,224.4871795,d1,20170422,2017-04-22
0.4,7.956363636,103,0.87,61,25.82142857,224.025,d1,20170423,2017-04-23
0.38,8.072727273,103,0.85,61,25.64285714,230.3947368,d1,20170424,2017-04-24
0.38,8.189090909,103,0.85,61,25.46428571,230.3947368,d1,20170425,2017-04-25
0.41,8.305454545,103,0.87,61,25.28571429,218.5609756,d1,20170426,2017-04-26
0.41,4.2,103,0.86,61,25.10714286,216.0487805,d1,20170427,2017-04-27
0.39,7.1,103,0.86,60,24.92857143,227.1282051,d1,20170428,2017-04-28
0.4,3.6,103,0.87,60,24.75,224.025,d1,20170429,2017-04-29
0.4,8.2,103,0.86,60,24.57142857,221.45,d1,20170430,2017-04-30
0.39,5.8,103,0.86,61,24.39285714,227.1282051,d1,20170501,2017-05-01
0.4,9.2,103,0.87,61,24.21428571,224.025,d1,20170502,2017-05-02
0.4,1,103,0.86,61,24.03571429,221.45,d1,20170503,2017-05-03
0.39,7.1,103,0.87,61,23.85714286,229.7692308,d1,20170504,2017-05-04
0.4,4.8,103,0.86,61,23.67857143,221.45,d1,20170505,2017-05-05
0.39,8.2,103,0.85,61,23.5,224.4871795,d1,20170506,2017-05-06
0.39,6.56,103,0.85,60,23.32142857,224.4871795,d1,20170507,2017-05-07
0.39,6.676363636,103,0.86,60,23.14285714,227.1282051,d1,20170508,2017-05-08
0.37,6.792727273,103,0.84,60,22.96428571,233.8378378,d1,20170509,2017-05-09
